in s,C3 in V
-3.0000174E+00,4.16992E+00
-3.0000078E+00,3.56445E+00
-2.9999982E+00,3.58398E+00
-2.9999886E+00,3.58398E+00
-2.9999790E+00,3.52539E+00
-2.9999694E+00,3.52539E+00
-2.9999598E+00,3.60352E+00
-2.9999502E+00,3.54492E+00
-2.9999406E+00,3.62305E+00
-2.9999310E+00,3.64258E+00
-2.9999214E+00,3.58398E+00
-2.9999118E+00,3.52539E+00
-2.9999022E+00,3.52539E+00
-2.9998926E+00,3.58398E+00
-2.9998830E+00,3.54492E+00
-2.9998734E+00,3.52539E+00
-2.9998638E+00,3.56445E+00
-2.9998542E+00,3.50586E+00
-2.9998446E+00,3.56445E+00
-2.9998350E+00,3.58398E+00
-2.9998254E+00,3.56445E+00
-2.9998158E+00,3.50586E+00
-2.9998062E+00,3.60352E+00
-2.9997966E+00,3.50586E+00
-2.9997870E+00,3.58398E+00
-2.9997774E+00,3.56445E+00
-2.9997678E+00,3.58398E+00
-2.9997582E+00,3.54492E+00
-2.9997486E+00,3.54492E+00
-2.9997390E+00,3.66211E+00
-2.9997294E+00,3.58398E+00
-2.9997198E+00,3.58398E+00
-2.9997102E+00,3.56445E+00
-2.9997006E+00,3.64258E+00
-2.9996910E+00,3.58398E+00
-2.9996814E+00,3.54492E+00
-2.9996718E+00,3.66211E+00
-2.9996622E+00,3.52539E+00
-2.9996526E+00,3.60352E+00
-2.9996430E+00,3.56445E+00
-2.9996334E+00,3.62305E+00
-2.9996238E+00,3.52539E+00
-2.9996142E+00,3.58398E+00
-2.9996046E+00,3.62305E+00
-2.9995950E+00,3.58398E+00
-2.9995854E+00,3.60352E+00
-2.9995758E+00,3.52539E+00
-2.9995662E+00,3.58398E+00
-2.9995566E+00,3.58398E+00
-2.9995470E+00,3.58398E+00
-2.9995374E+00,3.60352E+00
-2.9995278E+00,3.60352E+00
-2.9995182E+00,3.52539E+00
-2.9995086E+00,3.50586E+00
-2.9994990E+00,3.60352E+00
-2.9994894E+00,3.60352E+00
-2.9994798E+00,3.62305E+00
-2.9994702E+00,3.58398E+00
-2.9994606E+00,3.60352E+00
-2.9994510E+00,3.56445E+00
-2.9994414E+00,3.60352E+00
-2.9994318E+00,3.58398E+00
-2.9994222E+00,3.52539E+00
-2.9994126E+00,3.62305E+00
-2.9994030E+00,3.58398E+00
-2.9993934E+00,3.52539E+00
-2.9993838E+00,3.64258E+00
-2.9993742E+00,3.58398E+00
-2.9993646E+00,3.58398E+00
-2.9993550E+00,3.58398E+00
-2.9993454E+00,3.64258E+00
-2.9993358E+00,3.64258E+00
-2.9993262E+00,3.60352E+00
-2.9993166E+00,3.58398E+00
-2.9993070E+00,3.60352E+00
-2.9992974E+00,3.58398E+00
-2.9992878E+00,3.64258E+00
-2.9992782E+00,3.60352E+00
-2.9992686E+00,3.52539E+00
-2.9992590E+00,3.54492E+00
-2.9992494E+00,3.56445E+00
-2.9992398E+00,3.58398E+00
-2.9992302E+00,3.58398E+00
-2.9992206E+00,3.58398E+00
-2.9992110E+00,3.56445E+00
-2.9992014E+00,3.58398E+00
-2.9991918E+00,3.56445E+00
-2.9991822E+00,3.58398E+00
-2.9991726E+00,3.58398E+00
-2.9991630E+00,3.58398E+00
-2.9991534E+00,3.60352E+00
-2.9991438E+00,3.58398E+00
-2.9991342E+00,3.58398E+00
-2.9991246E+00,3.58398E+00
-2.9991150E+00,3.54492E+00
-2.9991054E+00,3.50586E+00
-2.9990958E+00,3.52539E+00
-2.9990862E+00,3.58398E+00
-2.9990766E+00,3.54492E+00
-2.9990670E+00,3.60352E+00
-2.9990574E+00,3.60352E+00
-2.9990478E+00,3.58398E+00
-2.9990382E+00,3.66211E+00
-2.9990286E+00,3.60352E+00
-2.9990190E+00,3.58398E+00
-2.9990094E+00,3.64258E+00
-2.9989998E+00,3.56445E+00
-2.9989902E+00,3.56445E+00
-2.9989806E+00,3.62305E+00
-2.9989710E+00,3.60352E+00
-2.9989614E+00,3.66211E+00
-2.9989518E+00,3.58398E+00
-2.9989422E+00,3.62305E+00
-2.9989326E+00,3.62305E+00
-2.9989230E+00,3.60352E+00
-2.9989134E+00,3.58398E+00
-2.9989038E+00,3.58398E+00
-2.9988942E+00,3.62305E+00
-2.9988846E+00,3.64258E+00
-2.9988750E+00,3.64258E+00
-2.9988654E+00,3.60352E+00
-2.9988558E+00,3.64258E+00
-2.9988462E+00,3.62305E+00
-2.9988366E+00,3.58398E+00
-2.9988270E+00,3.62305E+00
-2.9988174E+00,3.52539E+00
-2.9988078E+00,3.50586E+00
-2.9987982E+00,3.62305E+00
-2.9987886E+00,3.66211E+00
-2.9987790E+00,3.62305E+00
-2.9987694E+00,3.64258E+00
-2.9987598E+00,3.58398E+00
-2.9987502E+00,3.64258E+00
-2.9987406E+00,3.58398E+00
-2.9987310E+00,3.62305E+00
-2.9987214E+00,3.58398E+00
-2.9987118E+00,3.64258E+00
-2.9987022E+00,3.52539E+00
-2.9986926E+00,3.60352E+00
-2.9986830E+00,3.58398E+00
-2.9986734E+00,3.60352E+00
-2.9986638E+00,3.60352E+00
-2.9986542E+00,3.52539E+00
-2.9986446E+00,3.64258E+00
-2.9986350E+00,3.62305E+00
-2.9986254E+00,3.58398E+00
