in s,C3 in V
-3.0000174E+00,3.23242E+00
-3.0000042E+00,4.16992E+00
-2.9999910E+00,4.16992E+00
-2.9999778E+00,4.22852E+00
-2.9999646E+00,4.18945E+00
-2.9999514E+00,4.15039E+00
-2.9999382E+00,4.18945E+00
-2.9999250E+00,4.16992E+00
-2.9999118E+00,4.15039E+00
-2.9998986E+00,4.22852E+00
-2.9998854E+00,4.16992E+00
-2.9998722E+00,4.22852E+00
-2.9998590E+00,4.20898E+00
-2.9998458E+00,4.18945E+00
-2.9998326E+00,4.18945E+00
-2.9998194E+00,4.18945E+00
-2.9998062E+00,4.15039E+00
-2.9997930E+00,4.15039E+00
-2.9997798E+00,4.18945E+00
-2.9997666E+00,4.20898E+00
-2.9997534E+00,4.18945E+00
-2.9997402E+00,4.20898E+00
-2.9997270E+00,4.15039E+00
-2.9997138E+00,4.16992E+00
-2.9997006E+00,4.18945E+00
-2.9996874E+00,4.18945E+00
-2.9996742E+00,4.18945E+00
-2.9996610E+00,4.22852E+00
-2.9996478E+00,4.13086E+00
-2.9996346E+00,4.18945E+00
-2.9996214E+00,4.20898E+00
-2.9996082E+00,4.13086E+00
-2.9995950E+00,4.16992E+00
-2.9995818E+00,4.20898E+00
-2.9995686E+00,4.16992E+00
-2.9995554E+00,4.18945E+00
-2.9995422E+00,4.15039E+00
-2.9995290E+00,4.16992E+00
-2.9995158E+00,4.15039E+00
-2.9995026E+00,4.16992E+00
-2.9994894E+00,4.20898E+00
-2.9994762E+00,4.22852E+00
-2.9994630E+00,4.15039E+00
-2.9994498E+00,4.16992E+00
-2.9994366E+00,4.20898E+00
-2.9994234E+00,4.20898E+00
-2.9994102E+00,4.16992E+00
-2.9993970E+00,4.18945E+00
-2.9993838E+00,4.18945E+00
-2.9993706E+00,4.15039E+00
-2.9993574E+00,4.16992E+00
-2.9993442E+00,4.18945E+00
-2.9993310E+00,4.18945E+00
-2.9993178E+00,4.22852E+00
-2.9993046E+00,4.15039E+00
-2.9992914E+00,4.18945E+00
-2.9992782E+00,4.15039E+00
-2.9992650E+00,4.16992E+00
-2.9992518E+00,4.16992E+00
-2.9992386E+00,4.22852E+00
-2.9992254E+00,4.13086E+00
-2.9992122E+00,4.18945E+00
-2.9991990E+00,4.20898E+00
-2.9991858E+00,4.18945E+00
-2.9991726E+00,4.15039E+00
-2.9991594E+00,4.09180E+00
-2.9991462E+00,4.16992E+00
-2.9991330E+00,4.16992E+00
-2.9991198E+00,4.15039E+00
-2.9991066E+00,4.18945E+00
-2.9990934E+00,4.20898E+00
-2.9990802E+00,4.13086E+00
-2.9990670E+00,4.20898E+00
-2.9990538E+00,4.16992E+00
-2.9990406E+00,4.16992E+00
-2.9990274E+00,4.18945E+00
-2.9990142E+00,4.20898E+00
-2.9990010E+00,4.18945E+00
-2.9989878E+00,4.18945E+00
-2.9989746E+00,4.18945E+00
-2.9989614E+00,4.11133E+00
-2.9989482E+00,4.18945E+00
-2.9989350E+00,4.16992E+00
-2.9989218E+00,4.15039E+00
-2.9989086E+00,4.11133E+00
-2.9988954E+00,4.20898E+00
-2.9988822E+00,4.16992E+00
-2.9988690E+00,4.18945E+00
-2.9988558E+00,4.15039E+00
-2.9988426E+00,4.20898E+00
-2.9988294E+00,4.16992E+00
-2.9988162E+00,4.16992E+00
-2.9988030E+00,4.15039E+00
-2.9987898E+00,4.16992E+00
-2.9987766E+00,4.18945E+00
-2.9987634E+00,4.16992E+00
-2.9987502E+00,4.15039E+00
-2.9987370E+00,4.16992E+00
-2.9987238E+00,4.20898E+00
-2.9987106E+00,4.13086E+00
-2.9986974E+00,4.16992E+00
-2.9986842E+00,4.09180E+00
-2.9986710E+00,4.15039E+00
-2.9986578E+00,4.16992E+00
-2.9986446E+00,4.16992E+00
-2.9986314E+00,4.15039E+00
-2.9986182E+00,4.18945E+00
-2.9986050E+00,4.22852E+00
-2.9985918E+00,4.18945E+00
-2.9985786E+00,4.22852E+00
-2.9985654E+00,4.15039E+00
-2.9985522E+00,4.18945E+00
-2.9985390E+00,4.15039E+00
-2.9985258E+00,4.22852E+00
-2.9985126E+00,4.20898E+00
-2.9984994E+00,4.13086E+00
-2.9984862E+00,4.18945E+00
-2.9984730E+00,4.28711E+00
-2.9984598E+00,4.13086E+00
-2.9984466E+00,4.18945E+00
-2.9984334E+00,4.15039E+00
-2.9984202E+00,4.18945E+00
-2.9984070E+00,4.15039E+00
-2.9983938E+00,4.20898E+00
-2.9983806E+00,4.22852E+00
-2.9983674E+00,4.22852E+00
-2.9983542E+00,4.15039E+00
-2.9983410E+00,4.16992E+00
-2.9983278E+00,4.18945E+00
-2.9983146E+00,4.22852E+00
-2.9983014E+00,4.20898E+00
-2.9982882E+00,4.13086E+00
-2.9982750E+00,4.13086E+00
-2.9982618E+00,4.18945E+00
-2.9982486E+00,4.13086E+00
-2.9982354E+00,4.22852E+00
-2.9982222E+00,4.16992E+00
-2.9982090E+00,4.16992E+00
-2.9981958E+00,4.13086E+00
-2.9981826E+00,4.15039E+00
-2.9981694E+00,4.16992E+00
-2.9981562E+00,4.18945E+00
-2.9981430E+00,4.11133E+00
-2.9981298E+00,4.20898E+00
-2.9981166E+00,4.13086E+00
-2.9981034E+00,4.16992E+00
-2.9980902E+00,4.15039E+00
-2.9980770E+00,4.18945E+00
-2.9980638E+00,4.20898E+00
-2.9980506E+00,4.20898E+00
-2.9980374E+00,4.26758E+00
-2.9980242E+00,4.15039E+00
-2.9980110E+00,4.11133E+00
-2.9979978E+00,4.16992E+00
-2.9979846E+00,4.13086E+00
-2.9979714E+00,4.20898E+00
-2.9979582E+00,4.11133E+00
-2.9979450E+00,4.16992E+00
-2.9979318E+00,4.13086E+00
-2.9979186E+00,4.20898E+00
-2.9979054E+00,4.15039E+00
-2.9978922E+00,4.16992E+00
-2.9978790E+00,4.15039E+00
-2.9978658E+00,4.16992E+00
-2.9978526E+00,4.16992E+00
-2.9978394E+00,4.16992E+00
-2.9978262E+00,4.20898E+00
-2.9978130E+00,4.11133E+00
-2.9977998E+00,4.15039E+00
-2.9977866E+00,4.11133E+00
-2.9977734E+00,4.20898E+00
-2.9977602E+00,4.22852E+00
-2.9977470E+00,4.15039E+00
-2.9977338E+00,4.22852E+00
-2.9977206E+00,4.13086E+00
-2.9977074E+00,4.22852E+00
-2.9976942E+00,4.16992E+00
-2.9976810E+00,4.09180E+00
-2.9976678E+00,4.15039E+00
-2.9976546E+00,4.18945E+00
-2.9976414E+00,4.11133E+00
-2.9976282E+00,4.20898E+00
-2.9976150E+00,4.15039E+00
-2.9976018E+00,4.22852E+00
-2.9975886E+00,4.16992E+00
-2.9975754E+00,4.11133E+00
-2.9975622E+00,4.13086E+00
-2.9975490E+00,4.18945E+00
-2.9975358E+00,4.11133E+00
-2.9975226E+00,4.15039E+00
-2.9975094E+00,4.16992E+00
-2.9974962E+00,4.11133E+00
-2.9974830E+00,4.15039E+00
-2.9974698E+00,4.20898E+00
-2.9974566E+00,4.16992E+00
-2.9974434E+00,4.16992E+00
-2.9974302E+00,4.20898E+00
-2.9974170E+00,4.16992E+00
-2.9974038E+00,4.15039E+00
-2.9973906E+00,4.20898E+00
-2.9973774E+00,4.11133E+00
-2.9973642E+00,4.22852E+00
-2.9973510E+00,4.16992E+00
-2.9973378E+00,4.16992E+00
-2.9973246E+00,4.13086E+00
-2.9973114E+00,4.20898E+00
