in s,C3 in V
-6.0000348E-01,4.24805E+00
-6.0000036E-01,4.11133E+00
-5.9999724E-01,4.07227E+00
-5.9999412E-01,4.07227E+00
-5.9999100E-01,4.13086E+00
-5.9998788E-01,4.05273E+00
-5.9998476E-01,4.11133E+00
-5.9998164E-01,4.07227E+00
-5.9997852E-01,4.09180E+00
-5.9997540E-01,4.16992E+00
-5.9997228E-01,4.07227E+00
-5.9996916E-01,4.13086E+00
-5.9996604E-01,4.13086E+00
-5.9996292E-01,4.11133E+00
-5.9995980E-01,4.09180E+00
-5.9995668E-01,4.09180E+00
-5.9995356E-01,4.11133E+00
-5.9995044E-01,4.11133E+00
-5.9994732E-01,4.09180E+00
-5.9994420E-01,4.13086E+00
-5.9994108E-01,4.07227E+00
-5.9993796E-01,4.03320E+00
-5.9993484E-01,4.09180E+00
-5.9993172E-01,4.13086E+00
-5.9992860E-01,4.11133E+00
-5.9992548E-01,4.09180E+00
-5.9992236E-01,4.13086E+00
-5.9991924E-01,4.13086E+00
-5.9991612E-01,4.09180E+00
-5.9991300E-01,4.09180E+00
-5.9990988E-01,4.13086E+00
-5.9990676E-01,4.13086E+00
-5.9990364E-01,4.15039E+00
-5.9990052E-01,4.15039E+00
-5.9989740E-01,4.09180E+00
-5.9989428E-01,4.11133E+00
-5.9989116E-01,4.07227E+00
-5.9988804E-01,4.11133E+00
-5.9988492E-01,4.13086E+00
-5.9988180E-01,4.03320E+00
-5.9987868E-01,4.11133E+00
-5.9987556E-01,4.09180E+00
-5.9987244E-01,4.13086E+00
-5.9986932E-01,4.13086E+00
-5.9986620E-01,4.09180E+00
-5.9986308E-01,4.11133E+00
-5.9985996E-01,4.09180E+00
-5.9985684E-01,4.15039E+00
-5.9985372E-01,4.03320E+00
-5.9985060E-01,4.03320E+00
-5.9984748E-01,4.11133E+00
-5.9984436E-01,4.07227E+00
-5.9984124E-01,4.07227E+00
-5.9983812E-01,4.13086E+00
-5.9983500E-01,4.09180E+00
-5.9983188E-01,4.09180E+00
-5.9982876E-01,4.13086E+00
-5.9982564E-01,4.07227E+00
-5.9982252E-01,4.05273E+00
-5.9981940E-01,4.05273E+00
