in s,C3 in V
-5.9998620E-01,3.99414E+00
-5.9997972E-01,3.97461E+00
-5.9997324E-01,3.89648E+00
-5.9996676E-01,3.95508E+00
-5.9996028E-01,3.93555E+00
-5.9995380E-01,3.91602E+00
-5.9994732E-01,3.91602E+00
-5.9994084E-01,3.93555E+00
-5.9993436E-01,3.91602E+00
-5.9992788E-01,3.89648E+00
-5.9992140E-01,3.91602E+00
-5.9991492E-01,3.93555E+00
-5.9990844E-01,3.83789E+00
-5.9990196E-01,3.89648E+00
-5.9989548E-01,3.89648E+00
-5.9988900E-01,3.89648E+00
-5.9988252E-01,3.85742E+00
-5.9987604E-01,3.89648E+00
-5.9986956E-01,3.93555E+00
-5.9986308E-01,3.91602E+00
-5.9985660E-01,3.87695E+00
-5.9985012E-01,3.89648E+00
-5.9984364E-01,3.87695E+00
-5.9983716E-01,3.91602E+00
-5.9983068E-01,3.93555E+00
-5.9982420E-01,3.89648E+00
-5.9981772E-01,3.99414E+00
-5.9981124E-01,3.95508E+00
-5.9980476E-01,3.91602E+00
-5.9979828E-01,3.95508E+00
-5.9979180E-01,4.01367E+00
-5.9978532E-01,3.87695E+00
-5.9977884E-01,3.89648E+00
-5.9977236E-01,3.81836E+00
-5.9976588E-01,3.91602E+00
-5.9975940E-01,3.93555E+00
-5.9975292E-01,3.89648E+00
-5.9974644E-01,3.93555E+00
-5.9973996E-01,3.89648E+00
-5.9973348E-01,3.87695E+00
-5.9972700E-01,3.89648E+00
-5.9972052E-01,3.93555E+00
-5.9971404E-01,3.91602E+00
-5.9970756E-01,3.89648E+00
-5.9970108E-01,3.85742E+00
-5.9969460E-01,3.93555E+00
-5.9968812E-01,3.89648E+00
-5.9968164E-01,3.87695E+00
-5.9967516E-01,3.93555E+00
-5.9966868E-01,3.89648E+00
-5.9966220E-01,3.87695E+00
-5.9965572E-01,3.95508E+00
-5.9964924E-01,3.95508E+00
-5.9964276E-01,3.93555E+00
-5.9963628E-01,3.89648E+00
-5.9962980E-01,3.89648E+00
-5.9962332E-01,3.87695E+00
-5.9961684E-01,3.93555E+00
-5.9961036E-01,3.93555E+00
-5.9960388E-01,3.93555E+00
-5.9959740E-01,3.89648E+00
-5.9959092E-01,3.93555E+00
-5.9958444E-01,3.87695E+00
-5.9957796E-01,3.93555E+00
-5.9957148E-01,3.89648E+00
-5.9956500E-01,3.89648E+00
-5.9955852E-01,3.89648E+00
-5.9955204E-01,3.93555E+00
-5.9954556E-01,3.93555E+00
-5.9953908E-01,3.89648E+00
-5.9953260E-01,3.91602E+00
-5.9952612E-01,3.89648E+00
-5.9951964E-01,3.83789E+00
-5.9951316E-01,3.93555E+00
-5.9950668E-01,3.99414E+00
-5.9950020E-01,3.85742E+00
-5.9949372E-01,3.89648E+00
-5.9948724E-01,3.83789E+00
-5.9948076E-01,3.87695E+00
-5.9947428E-01,3.93555E+00
-5.9946780E-01,3.83789E+00
-5.9946132E-01,3.87695E+00
-5.9945484E-01,3.93555E+00
-5.9944836E-01,3.93555E+00
-5.9944188E-01,3.85742E+00
-5.9943540E-01,3.93555E+00
-5.9942892E-01,3.87695E+00
-5.9942244E-01,3.89648E+00
-5.9941596E-01,3.93555E+00
-5.9940948E-01,3.91602E+00
-5.9940300E-01,3.81836E+00
-5.9939652E-01,3.85742E+00
-5.9939004E-01,3.83789E+00
-5.9938356E-01,3.87695E+00
-5.9937708E-01,3.83789E+00
-5.9937060E-01,3.91602E+00
-5.9936412E-01,3.99414E+00
-5.9935764E-01,3.89648E+00
-5.9935116E-01,3.89648E+00
-5.9934468E-01,3.83789E+00
-5.9933820E-01,3.85742E+00
-5.9933172E-01,3.85742E+00
-5.9932524E-01,3.87695E+00
-5.9931876E-01,3.93555E+00
-5.9931228E-01,3.87695E+00
-5.9930580E-01,3.83789E+00
-5.9929932E-01,3.97461E+00
-5.9929284E-01,3.87695E+00
-5.9928636E-01,3.83789E+00
-5.9927988E-01,3.93555E+00
-5.9927340E-01,3.81836E+00
-5.9926692E-01,3.91602E+00
-5.9926044E-01,3.87695E+00
-5.9925396E-01,3.87695E+00
-5.9924748E-01,3.87695E+00
-5.9924100E-01,3.87695E+00
-5.9923452E-01,3.83789E+00
-5.9922804E-01,3.97461E+00
-5.9922156E-01,3.87695E+00
-5.9921508E-01,3.91602E+00
-5.9920860E-01,3.79883E+00
-5.9920212E-01,3.87695E+00
-5.9919564E-01,3.93555E+00
-5.9918916E-01,3.83789E+00
-5.9918268E-01,3.83789E+00
-5.9917620E-01,3.87695E+00
-5.9916972E-01,3.87695E+00
-5.9916324E-01,3.91602E+00
-5.9915676E-01,3.89648E+00
-5.9915028E-01,3.91602E+00
-5.9914380E-01,3.85742E+00
-5.9913732E-01,3.81836E+00
-5.9913084E-01,3.89648E+00
-5.9912436E-01,3.79883E+00
-5.9911788E-01,3.89648E+00
-5.9911140E-01,3.93555E+00
-5.9910492E-01,3.89648E+00
-5.9909844E-01,3.83789E+00
-5.9909196E-01,3.81836E+00
-5.9908548E-01,3.87695E+00
-5.9907900E-01,3.89648E+00
-5.9907252E-01,3.85742E+00
-5.9906604E-01,3.85742E+00
-5.9905956E-01,3.87695E+00
-5.9905308E-01,3.85742E+00
-5.9904660E-01,3.87695E+00
-5.9904012E-01,3.79883E+00
-5.9903364E-01,3.81836E+00
-5.9902716E-01,3.81836E+00
-5.9902068E-01,3.91602E+00
-5.9901420E-01,3.85742E+00
-5.9900772E-01,3.87695E+00
-5.9900124E-01,3.85742E+00
-5.9899476E-01,3.87695E+00
-5.9898828E-01,3.81836E+00
-5.9898180E-01,3.87695E+00
-5.9897532E-01,3.87695E+00
-5.9896884E-01,3.85742E+00
-5.9896236E-01,3.87695E+00
-5.9895588E-01,3.83789E+00
-5.9894940E-01,3.83789E+00
-5.9894292E-01,3.81836E+00
-5.9893644E-01,3.83789E+00
-5.9892996E-01,3.87695E+00
-5.9892348E-01,3.83789E+00
-5.9891700E-01,3.87695E+00
-5.9891052E-01,3.77930E+00
-5.9890404E-01,3.91602E+00
-5.9889756E-01,3.83789E+00
-5.9889108E-01,3.91602E+00
-5.9888460E-01,3.89648E+00
-5.9887812E-01,3.87695E+00
-5.9887164E-01,3.85742E+00
-5.9886516E-01,3.87695E+00
-5.9885868E-01,3.87695E+00
-5.9885220E-01,3.87695E+00
-5.9884572E-01,3.85742E+00
-5.9883924E-01,3.89648E+00
-5.9883276E-01,3.89648E+00
-5.9882628E-01,3.83789E+00
-5.9881980E-01,3.83789E+00
-5.9881332E-01,3.87695E+00
-5.9880684E-01,3.85742E+00
-5.9880036E-01,3.89648E+00
-5.9879388E-01,3.81836E+00
-5.9878740E-01,3.83789E+00
-5.9878092E-01,3.83789E+00
-5.9877444E-01,3.89648E+00
-5.9876796E-01,3.81836E+00
-5.9876148E-01,3.83789E+00
-5.9875500E-01,3.85742E+00
-5.9874852E-01,3.85742E+00
-5.9874204E-01,3.87695E+00
-5.9873556E-01,3.87695E+00
-5.9872908E-01,3.85742E+00
-5.9872260E-01,3.87695E+00
-5.9871612E-01,3.91602E+00
-5.9870964E-01,3.87695E+00
-5.9870316E-01,3.87695E+00
-5.9869668E-01,3.81836E+00
-5.9869020E-01,3.81836E+00
-5.9868372E-01,3.89648E+00
-5.9867724E-01,3.81836E+00
-5.9867076E-01,3.83789E+00
-5.9866428E-01,3.81836E+00
-5.9865780E-01,3.81836E+00
-5.9865132E-01,3.89648E+00
-5.9864484E-01,3.83789E+00
-5.9863836E-01,3.85742E+00
-5.9863188E-01,3.81836E+00
-5.9862540E-01,3.89648E+00
-5.9861892E-01,3.87695E+00
-5.9861244E-01,3.75977E+00
-5.9860596E-01,3.85742E+00
-5.9859948E-01,3.83789E+00
-5.9859300E-01,3.87695E+00
-5.9858652E-01,3.79883E+00
-5.9858004E-01,3.81836E+00
-5.9857356E-01,3.79883E+00
-5.9856708E-01,3.89648E+00
-5.9856060E-01,3.85742E+00
-5.9855412E-01,3.89648E+00
-5.9854764E-01,3.81836E+00
-5.9854116E-01,3.85742E+00
-5.9853468E-01,3.81836E+00
-5.9852820E-01,3.83789E+00
-5.9852172E-01,3.85742E+00
-5.9851524E-01,3.79883E+00
-5.9850876E-01,3.85742E+00
-5.9850228E-01,3.87695E+00
-5.9849580E-01,3.81836E+00
-5.9848932E-01,3.81836E+00
-5.9848284E-01,3.87695E+00
-5.9847636E-01,3.91602E+00
-5.9846988E-01,3.85742E+00
-5.9846340E-01,3.89648E+00
-5.9845692E-01,3.77930E+00
-5.9845044E-01,3.91602E+00
-5.9844396E-01,3.81836E+00
-5.9843748E-01,3.87695E+00
-5.9843100E-01,3.83789E+00
-5.9842452E-01,3.89648E+00
-5.9841804E-01,3.87695E+00
-5.9841156E-01,3.75977E+00
-5.9840508E-01,3.79883E+00
-5.9839860E-01,3.87695E+00
-5.9839212E-01,3.79883E+00
-5.9838564E-01,3.85742E+00
-5.9837916E-01,3.83789E+00
-5.9837268E-01,3.79883E+00
-5.9836620E-01,3.83789E+00
-5.9835972E-01,3.83789E+00
-5.9835324E-01,3.85742E+00
-5.9834676E-01,3.83789E+00
-5.9834028E-01,3.81836E+00
-5.9833380E-01,3.81836E+00
-5.9832732E-01,3.85742E+00
-5.9832084E-01,3.87695E+00
-5.9831436E-01,3.79883E+00
-5.9830788E-01,3.81836E+00
-5.9830140E-01,3.79883E+00
-5.9829492E-01,3.83789E+00
-5.9828844E-01,3.77930E+00
-5.9828196E-01,3.83789E+00
-5.9827548E-01,3.93555E+00
-5.9826900E-01,3.85742E+00
-5.9826252E-01,3.81836E+00
-5.9825604E-01,3.83789E+00
-5.9824956E-01,3.72070E+00
-5.9824308E-01,3.85742E+00
-5.9823660E-01,3.79883E+00
-5.9823012E-01,3.89648E+00
-5.9822364E-01,3.81836E+00
-5.9821716E-01,3.87695E+00
-5.9821068E-01,3.87695E+00
-5.9820420E-01,3.79883E+00
-5.9819772E-01,3.79883E+00
-5.9819124E-01,3.83789E+00
-5.9818476E-01,3.77930E+00
-5.9817828E-01,3.75977E+00
-5.9817180E-01,3.77930E+00
-5.9816532E-01,3.81836E+00
-5.9815884E-01,3.81836E+00
-5.9815236E-01,3.83789E+00
-5.9814588E-01,3.77930E+00
-5.9813940E-01,3.81836E+00
-5.9813292E-01,3.81836E+00
-5.9812644E-01,3.83789E+00
-5.9811996E-01,3.79883E+00
-5.9811348E-01,3.75977E+00
-5.9810700E-01,3.81836E+00
-5.9810052E-01,3.79883E+00
-5.9809404E-01,3.81836E+00
-5.9808756E-01,3.79883E+00
-5.9808108E-01,3.81836E+00
-5.9807460E-01,3.87695E+00
-5.9806812E-01,3.79883E+00
-5.9806164E-01,3.85742E+00
-5.9805516E-01,3.87695E+00
-5.9804868E-01,3.81836E+00
-5.9804220E-01,3.77930E+00
-5.9803572E-01,3.77930E+00
-5.9802924E-01,3.81836E+00
-5.9802276E-01,3.83789E+00
-5.9801628E-01,3.77930E+00
-5.9800980E-01,3.81836E+00
-5.9800332E-01,3.85742E+00
-5.9799684E-01,3.79883E+00
-5.9799036E-01,3.89648E+00
-5.9798388E-01,3.79883E+00
-5.9797740E-01,3.75977E+00
-5.9797092E-01,3.83789E+00
-5.9796444E-01,3.79883E+00
-5.9795796E-01,3.79883E+00
-5.9795148E-01,3.79883E+00
-5.9794500E-01,3.79883E+00
-5.9793852E-01,3.75977E+00
-5.9793204E-01,3.85742E+00
-5.9792556E-01,3.79883E+00
-5.9791908E-01,3.79883E+00
-5.9791260E-01,3.74023E+00
-5.9790612E-01,3.81836E+00
-5.9789964E-01,3.85742E+00
-5.9789316E-01,3.79883E+00
-5.9788668E-01,3.81836E+00
-5.9788020E-01,3.83789E+00
-5.9787372E-01,3.79883E+00
-5.9786724E-01,3.77930E+00
-5.9786076E-01,3.85742E+00
-5.9785428E-01,3.83789E+00
-5.9784780E-01,3.79883E+00
-5.9784132E-01,3.74023E+00
-5.9783484E-01,3.79883E+00
-5.9782836E-01,3.89648E+00
-5.9782188E-01,3.72070E+00
-5.9781540E-01,3.81836E+00
-5.9780892E-01,3.77930E+00
-5.9780244E-01,3.70117E+00
-5.9779596E-01,3.83789E+00
-5.9778948E-01,3.87695E+00
-5.9778300E-01,3.77930E+00
-5.9777652E-01,3.79883E+00
-5.9777004E-01,3.75977E+00
-5.9776356E-01,3.81836E+00
-5.9775708E-01,3.77930E+00
-5.9775060E-01,3.79883E+00
-5.9774412E-01,3.81836E+00
-5.9773764E-01,3.83789E+00
-5.9773116E-01,3.79883E+00
-5.9772468E-01,3.83789E+00
-5.9771820E-01,3.79883E+00
-5.9771172E-01,3.83789E+00
-5.9770524E-01,3.75977E+00
-5.9769876E-01,3.79883E+00
-5.9769228E-01,3.77930E+00
-5.9768580E-01,3.75977E+00
-5.9767932E-01,3.81836E+00
-5.9767284E-01,3.85742E+00
-5.9766636E-01,3.81836E+00
-5.9765988E-01,3.87695E+00
-5.9765340E-01,3.83789E+00
-5.9764692E-01,3.81836E+00
-5.9764044E-01,3.77930E+00
-5.9763396E-01,3.85742E+00
-5.9762748E-01,3.79883E+00
-5.9762100E-01,3.83789E+00
-5.9761452E-01,3.79883E+00
-5.9760804E-01,3.79883E+00
-5.9760156E-01,3.75977E+00
-5.9759508E-01,3.83789E+00
-5.9758860E-01,3.81836E+00
-5.9758212E-01,3.77930E+00
-5.9757564E-01,3.75977E+00
-5.9756916E-01,3.81836E+00
-5.9756268E-01,3.77930E+00
-5.9755620E-01,3.75977E+00
-5.9754972E-01,3.81836E+00
-5.9754324E-01,3.75977E+00
-5.9753676E-01,3.77930E+00
-5.9753028E-01,3.79883E+00
-5.9752380E-01,3.75977E+00
-5.9751732E-01,3.79883E+00
-5.9751084E-01,3.75977E+00
-5.9750436E-01,3.77930E+00
-5.9749788E-01,3.75977E+00
-5.9749140E-01,3.79883E+00
-5.9748492E-01,3.75977E+00
-5.9747844E-01,3.77930E+00
-5.9747196E-01,3.77930E+00
-5.9746548E-01,3.79883E+00
-5.9745900E-01,3.79883E+00
-5.9745252E-01,3.79883E+00
-5.9744604E-01,3.74023E+00
-5.9743956E-01,3.77930E+00
-5.9743308E-01,3.79883E+00
-5.9742660E-01,3.81836E+00
-5.9742012E-01,3.75977E+00
-5.9741364E-01,3.79883E+00
-5.9740716E-01,3.74023E+00
-5.9740068E-01,3.79883E+00
-5.9739420E-01,3.74023E+00
-5.9738772E-01,3.72070E+00
-5.9738124E-01,3.68164E+00
-5.9737476E-01,3.81836E+00
-5.9736828E-01,3.74023E+00
-5.9736180E-01,3.83789E+00
-5.9735532E-01,3.74023E+00
-5.9734884E-01,3.77930E+00
-5.9734236E-01,3.74023E+00
-5.9733588E-01,3.72070E+00
-5.9732940E-01,3.74023E+00
-5.9732292E-01,3.77930E+00
-5.9731644E-01,3.79883E+00
-5.9730996E-01,3.83789E+00
-5.9730348E-01,3.72070E+00
-5.9729700E-01,3.77930E+00
-5.9729052E-01,3.77930E+00
-5.9728404E-01,3.75977E+00
-5.9727756E-01,3.74023E+00
-5.9727108E-01,3.74023E+00
-5.9726460E-01,3.75977E+00
-5.9725812E-01,3.77930E+00
-5.9725164E-01,3.77930E+00
-5.9724516E-01,3.75977E+00
-5.9723868E-01,3.74023E+00
-5.9723220E-01,3.77930E+00
-5.9722572E-01,3.77930E+00
-5.9721924E-01,3.77930E+00
-5.9721276E-01,3.72070E+00
-5.9720628E-01,3.75977E+00
-5.9719980E-01,3.70117E+00
-5.9719332E-01,3.75977E+00
-5.9718684E-01,3.79883E+00
-5.9718036E-01,3.77930E+00
-5.9717388E-01,3.75977E+00
-5.9716740E-01,3.75977E+00
-5.9716092E-01,3.74023E+00
-5.9715444E-01,3.72070E+00
-5.9714796E-01,3.77930E+00
-5.9714148E-01,3.77930E+00
-5.9713500E-01,3.75977E+00
-5.9712852E-01,3.77930E+00
-5.9712204E-01,3.77930E+00
-5.9711556E-01,3.77930E+00
-5.9710908E-01,3.79883E+00
-5.9710260E-01,3.70117E+00
-5.9709612E-01,3.75977E+00
-5.9708964E-01,3.72070E+00
-5.9708316E-01,3.74023E+00
-5.9707668E-01,3.77930E+00
-5.9707020E-01,3.72070E+00
-5.9706372E-01,3.74023E+00
-5.9705724E-01,3.74023E+00
-5.9705076E-01,3.68164E+00
-5.9704428E-01,3.75977E+00
-5.9703780E-01,3.72070E+00
-5.9703132E-01,3.77930E+00
-5.9702484E-01,3.77930E+00
-5.9701836E-01,3.68164E+00
-5.9701188E-01,3.72070E+00
-5.9700540E-01,3.68164E+00
-5.9699892E-01,3.72070E+00
-5.9699244E-01,3.75977E+00
-5.9698596E-01,3.74023E+00
-5.9697948E-01,3.81836E+00
-5.9697300E-01,3.72070E+00
-5.9696652E-01,3.70117E+00
-5.9696004E-01,3.72070E+00
-5.9695356E-01,3.74023E+00
-5.9694708E-01,3.81836E+00
-5.9694060E-01,3.77930E+00
-5.9693412E-01,3.74023E+00
-5.9692764E-01,3.74023E+00
-5.9692116E-01,3.72070E+00
-5.9691468E-01,3.75977E+00
-5.9690820E-01,3.72070E+00
-5.9690172E-01,3.74023E+00
-5.9689524E-01,3.68164E+00
-5.9688876E-01,3.75977E+00
-5.9688228E-01,3.72070E+00
-5.9687580E-01,3.74023E+00
-5.9686932E-01,3.70117E+00
-5.9686284E-01,3.77930E+00
-5.9685636E-01,3.70117E+00
-5.9684988E-01,3.75977E+00
-5.9684340E-01,3.72070E+00
-5.9683692E-01,3.81836E+00
-5.9683044E-01,3.77930E+00
-5.9682396E-01,3.74023E+00
-5.9681748E-01,3.74023E+00
-5.9681100E-01,3.72070E+00
-5.9680452E-01,3.77930E+00
-5.9679804E-01,3.66211E+00
-5.9679156E-01,3.77930E+00
-5.9678508E-01,3.70117E+00
-5.9677860E-01,3.74023E+00
-5.9677212E-01,3.70117E+00
-5.9676564E-01,3.77930E+00
-5.9675916E-01,3.75977E+00
-5.9675268E-01,3.66211E+00
-5.9674620E-01,3.70117E+00
-5.9673972E-01,3.75977E+00
-5.9673324E-01,3.68164E+00
-5.9672676E-01,3.75977E+00
-5.9672028E-01,3.68164E+00
-5.9671380E-01,3.68164E+00
-5.9670732E-01,3.70117E+00
-5.9670084E-01,3.75977E+00
-5.9669436E-01,3.72070E+00
-5.9668788E-01,3.74023E+00
-5.9668140E-01,3.77930E+00
-5.9667492E-01,3.74023E+00
-5.9666844E-01,3.75977E+00
-5.9666196E-01,3.72070E+00
-5.9665548E-01,3.72070E+00
-5.9664900E-01,3.72070E+00
-5.9664252E-01,3.75977E+00
-5.9663604E-01,3.74023E+00
-5.9662956E-01,3.74023E+00
-5.9662308E-01,3.72070E+00
-5.9661660E-01,3.72070E+00
-5.9661012E-01,3.70117E+00
-5.9660364E-01,3.74023E+00
-5.9659716E-01,3.75977E+00
-5.9659068E-01,3.70117E+00
-5.9658420E-01,3.72070E+00
-5.9657772E-01,3.68164E+00
-5.9657124E-01,3.75977E+00
-5.9656476E-01,3.72070E+00
-5.9655828E-01,3.74023E+00
-5.9655180E-01,3.68164E+00
-5.9654532E-01,3.72070E+00
-5.9653884E-01,3.66211E+00
-5.9653236E-01,3.74023E+00
-5.9652588E-01,3.70117E+00
-5.9651940E-01,3.72070E+00
-5.9651292E-01,3.74023E+00
-5.9650644E-01,3.72070E+00
-5.9649996E-01,3.75977E+00
-5.9649348E-01,3.70117E+00
-5.9648700E-01,3.77930E+00
-5.9648052E-01,3.72070E+00
-5.9647404E-01,3.70117E+00
-5.9646756E-01,3.74023E+00
-5.9646108E-01,3.74023E+00
-5.9645460E-01,3.68164E+00
-5.9644812E-01,3.66211E+00
-5.9644164E-01,3.66211E+00
-5.9643516E-01,3.72070E+00
-5.9642868E-01,3.70117E+00
-5.9642220E-01,3.70117E+00
-5.9641572E-01,3.72070E+00
-5.9640924E-01,3.64258E+00
