in s,C3 in V
-3.0000174E+00,2.54883E+00
-3.0000060E+00,4.22852E+00
-2.9999946E+00,4.26758E+00
-2.9999832E+00,4.16992E+00
-2.9999718E+00,4.24805E+00
-2.9999604E+00,4.20898E+00
-2.9999490E+00,4.22852E+00
-2.9999376E+00,4.26758E+00
-2.9999262E+00,4.22852E+00
-2.9999148E+00,4.24805E+00
-2.9999034E+00,4.30664E+00
-2.9998920E+00,4.22852E+00
-2.9998806E+00,4.24805E+00
-2.9998692E+00,4.24805E+00
-2.9998578E+00,4.28711E+00
-2.9998464E+00,4.24805E+00
-2.9998350E+00,4.22852E+00
-2.9998236E+00,4.26758E+00
-2.9998122E+00,4.26758E+00
-2.9998008E+00,4.22852E+00
-2.9997894E+00,4.24805E+00
-2.9997780E+00,4.28711E+00
-2.9997666E+00,4.28711E+00
-2.9997552E+00,4.18945E+00
-2.9997438E+00,4.22852E+00
-2.9997324E+00,4.18945E+00
-2.9997210E+00,4.28711E+00
-2.9997096E+00,4.26758E+00
-2.9996982E+00,4.26758E+00
-2.9996868E+00,4.28711E+00
-2.9996754E+00,4.24805E+00
-2.9996640E+00,4.26758E+00
-2.9996526E+00,4.24805E+00
-2.9996412E+00,4.22852E+00
-2.9996298E+00,4.22852E+00
-2.9996184E+00,4.28711E+00
-2.9996070E+00,4.28711E+00
-2.9995956E+00,4.28711E+00
-2.9995842E+00,4.26758E+00
-2.9995728E+00,4.28711E+00
-2.9995614E+00,4.28711E+00
-2.9995500E+00,4.24805E+00
-2.9995386E+00,4.28711E+00
-2.9995272E+00,4.28711E+00
-2.9995158E+00,4.16992E+00
-2.9995044E+00,4.28711E+00
-2.9994930E+00,4.30664E+00
-2.9994816E+00,4.24805E+00
-2.9994702E+00,4.28711E+00
-2.9994588E+00,4.22852E+00
-2.9994474E+00,4.16992E+00
-2.9994360E+00,4.28711E+00
-2.9994246E+00,4.22852E+00
-2.9994132E+00,4.24805E+00
-2.9994018E+00,4.28711E+00
-2.9993904E+00,4.24805E+00
-2.9993790E+00,4.26758E+00
-2.9993676E+00,4.30664E+00
-2.9993562E+00,4.28711E+00
-2.9993448E+00,4.22852E+00
-2.9993334E+00,4.32617E+00
-2.9993220E+00,4.22852E+00
-2.9993106E+00,4.26758E+00
-2.9992992E+00,4.22852E+00
-2.9992878E+00,4.22852E+00
-2.9992764E+00,4.26758E+00
-2.9992650E+00,4.22852E+00
-2.9992536E+00,4.22852E+00
-2.9992422E+00,4.18945E+00
-2.9992308E+00,4.20898E+00
-2.9992194E+00,4.28711E+00
-2.9992080E+00,4.22852E+00
-2.9991966E+00,4.22852E+00
-2.9991852E+00,4.22852E+00
-2.9991738E+00,4.22852E+00
-2.9991624E+00,4.24805E+00
-2.9991510E+00,4.22852E+00
-2.9991396E+00,4.28711E+00
-2.9991282E+00,4.30664E+00
-2.9991168E+00,4.26758E+00
-2.9991054E+00,4.20898E+00
-2.9990940E+00,4.28711E+00
-2.9990826E+00,4.28711E+00
-2.9990712E+00,4.28711E+00
-2.9990598E+00,4.28711E+00
-2.9990484E+00,4.22852E+00
-2.9990370E+00,4.22852E+00
-2.9990256E+00,4.22852E+00
-2.9990142E+00,4.28711E+00
-2.9990028E+00,4.28711E+00
-2.9989914E+00,4.22852E+00
-2.9989800E+00,4.22852E+00
-2.9989686E+00,4.28711E+00
-2.9989572E+00,4.16992E+00
-2.9989458E+00,4.18945E+00
-2.9989344E+00,4.22852E+00
-2.9989230E+00,4.22852E+00
-2.9989116E+00,4.20898E+00
-2.9989002E+00,4.26758E+00
-2.9988888E+00,4.22852E+00
-2.9988774E+00,4.30664E+00
-2.9988660E+00,4.18945E+00
-2.9988546E+00,4.22852E+00
-2.9988432E+00,4.24805E+00
-2.9988318E+00,4.20898E+00
-2.9988204E+00,4.22852E+00
-2.9988090E+00,4.28711E+00
-2.9987976E+00,4.24805E+00
-2.9987862E+00,4.22852E+00
-2.9987748E+00,4.30664E+00
-2.9987634E+00,4.24805E+00
-2.9987520E+00,4.26758E+00
-2.9987406E+00,4.26758E+00
-2.9987292E+00,4.24805E+00
-2.9987178E+00,4.22852E+00
-2.9987064E+00,4.24805E+00
-2.9986950E+00,4.16992E+00
-2.9986836E+00,4.36523E+00
-2.9986722E+00,4.26758E+00
-2.9986608E+00,4.28711E+00
-2.9986494E+00,4.26758E+00
-2.9986380E+00,4.22852E+00
-2.9986266E+00,4.28711E+00
-2.9986152E+00,4.28711E+00
-2.9986038E+00,4.24805E+00
-2.9985924E+00,4.28711E+00
-2.9985810E+00,4.30664E+00
-2.9985696E+00,4.26758E+00
-2.9985582E+00,4.24805E+00
-2.9985468E+00,4.28711E+00
-2.9985354E+00,4.24805E+00
-2.9985240E+00,4.28711E+00
-2.9985126E+00,4.20898E+00
-2.9985012E+00,4.26758E+00
-2.9984898E+00,4.22852E+00
-2.9984784E+00,4.22852E+00
-2.9984670E+00,4.30664E+00
-2.9984556E+00,4.20898E+00
-2.9984442E+00,4.22852E+00
-2.9984328E+00,4.16992E+00
-2.9984214E+00,4.26758E+00
-2.9984100E+00,4.24805E+00
-2.9983986E+00,4.22852E+00
-2.9983872E+00,4.18945E+00
-2.9983758E+00,4.24805E+00
-2.9983644E+00,4.26758E+00
-2.9983530E+00,4.30664E+00
-2.9983416E+00,4.26758E+00
-2.9983302E+00,4.15039E+00
-2.9983188E+00,4.30664E+00
-2.9983074E+00,4.28711E+00
-2.9982960E+00,4.24805E+00
-2.9982846E+00,4.18945E+00
-2.9982732E+00,4.26758E+00
-2.9982618E+00,4.22852E+00
-2.9982504E+00,4.22852E+00
-2.9982390E+00,4.22852E+00
-2.9982276E+00,4.22852E+00
-2.9982162E+00,4.26758E+00
-2.9982048E+00,4.22852E+00
-2.9981934E+00,4.26758E+00
-2.9981820E+00,4.26758E+00
-2.9981706E+00,4.22852E+00
-2.9981592E+00,4.28711E+00
-2.9981478E+00,4.32617E+00
-2.9981364E+00,4.26758E+00
-2.9981250E+00,4.24805E+00
-2.9981136E+00,4.15039E+00
-2.9981022E+00,4.22852E+00
-2.9980908E+00,4.26758E+00
-2.9980794E+00,4.22852E+00
-2.9980680E+00,4.16992E+00
-2.9980566E+00,4.26758E+00
-2.9980452E+00,4.30664E+00
-2.9980338E+00,4.28711E+00
-2.9980224E+00,4.22852E+00
-2.9980110E+00,4.22852E+00
-2.9979996E+00,4.20898E+00
-2.9979882E+00,4.30664E+00
-2.9979768E+00,4.16992E+00
-2.9979654E+00,4.26758E+00
-2.9979540E+00,4.24805E+00
-2.9979426E+00,4.22852E+00
-2.9979312E+00,4.24805E+00
-2.9979198E+00,4.18945E+00
-2.9979084E+00,4.22852E+00
-2.9978970E+00,4.30664E+00
-2.9978856E+00,4.24805E+00
-2.9978742E+00,4.28711E+00
-2.9978628E+00,4.28711E+00
-2.9978514E+00,4.24805E+00
-2.9978400E+00,4.26758E+00
-2.9978286E+00,4.20898E+00
-2.9978172E+00,4.24805E+00
-2.9978058E+00,4.26758E+00
-2.9977944E+00,4.26758E+00
-2.9977830E+00,4.22852E+00
-2.9977716E+00,4.24805E+00
-2.9977602E+00,4.26758E+00
-2.9977488E+00,4.24805E+00
-2.9977374E+00,4.20898E+00
-2.9977260E+00,4.24805E+00
-2.9977146E+00,4.24805E+00
-2.9977032E+00,4.20898E+00
-2.9976918E+00,4.24805E+00
-2.9976804E+00,4.32617E+00
-2.9976690E+00,4.22852E+00
-2.9976576E+00,4.24805E+00
-2.9976462E+00,4.18945E+00
-2.9976348E+00,4.28711E+00
-2.9976234E+00,4.34570E+00
-2.9976120E+00,4.24805E+00
-2.9976006E+00,4.26758E+00
-2.9975892E+00,4.28711E+00
-2.9975778E+00,4.18945E+00
-2.9975664E+00,4.26758E+00
-2.9975550E+00,4.26758E+00
-2.9975436E+00,4.24805E+00
-2.9975322E+00,4.28711E+00
-2.9975208E+00,4.30664E+00
-2.9975094E+00,4.26758E+00
-2.9974980E+00,4.20898E+00
-2.9974866E+00,4.26758E+00
-2.9974752E+00,4.26758E+00
-2.9974638E+00,4.28711E+00
-2.9974524E+00,4.24805E+00
-2.9974410E+00,4.28711E+00
-2.9974296E+00,4.24805E+00
-2.9974182E+00,4.26758E+00
-2.9974068E+00,4.24805E+00
-2.9973954E+00,4.22852E+00
-2.9973840E+00,4.26758E+00
-2.9973726E+00,4.20898E+00
-2.9973612E+00,4.22852E+00
-2.9973498E+00,4.22852E+00
-2.9973384E+00,4.20898E+00
-2.9973270E+00,4.22852E+00
-2.9973156E+00,4.28711E+00
-2.9973042E+00,4.28711E+00
-2.9972928E+00,4.30664E+00
-2.9972814E+00,4.22852E+00
-2.9972700E+00,4.22852E+00
-2.9972586E+00,4.30664E+00
-2.9972472E+00,4.22852E+00
-2.9972358E+00,4.24805E+00
-2.9972244E+00,4.20898E+00
-2.9972130E+00,4.18945E+00
-2.9972016E+00,4.18945E+00
-2.9971902E+00,4.28711E+00
-2.9971788E+00,4.26758E+00
-2.9971674E+00,4.20898E+00
-2.9971560E+00,4.26758E+00
-2.9971446E+00,4.20898E+00
-2.9971332E+00,4.30664E+00
-2.9971218E+00,4.28711E+00
-2.9971104E+00,4.22852E+00
-2.9970990E+00,4.22852E+00
-2.9970876E+00,4.26758E+00
-2.9970762E+00,4.24805E+00
-2.9970648E+00,4.18945E+00
-2.9970534E+00,4.18945E+00
-2.9970420E+00,4.22852E+00
-2.9970306E+00,4.28711E+00
-2.9970192E+00,4.15039E+00
-2.9970078E+00,4.20898E+00
-2.9969964E+00,4.20898E+00
-2.9969850E+00,4.22852E+00
-2.9969736E+00,4.28711E+00
-2.9969622E+00,4.22852E+00
-2.9969508E+00,4.26758E+00
-2.9969394E+00,4.18945E+00
-2.9969280E+00,4.20898E+00
-2.9969166E+00,4.24805E+00
-2.9969052E+00,4.24805E+00
-2.9968938E+00,4.22852E+00
-2.9968824E+00,4.24805E+00
-2.9968710E+00,4.26758E+00
-2.9968596E+00,4.22852E+00
-2.9968482E+00,4.28711E+00
-2.9968368E+00,4.24805E+00
-2.9968254E+00,4.22852E+00
-2.9968140E+00,4.26758E+00
-2.9968026E+00,4.22852E+00
-2.9967912E+00,4.26758E+00
-2.9967798E+00,4.26758E+00
-2.9967684E+00,4.22852E+00
-2.9967570E+00,4.28711E+00
-2.9967456E+00,4.22852E+00
-2.9967342E+00,4.26758E+00
-2.9967228E+00,4.26758E+00
-2.9967114E+00,4.22852E+00
-2.9967000E+00,4.28711E+00
-2.9966886E+00,4.22852E+00
-2.9966772E+00,4.22852E+00
-2.9966658E+00,4.22852E+00
-2.9966544E+00,4.26758E+00
-2.9966430E+00,4.22852E+00
-2.9966316E+00,4.26758E+00
-2.9966202E+00,4.18945E+00
-2.9966088E+00,4.22852E+00
-2.9965974E+00,4.28711E+00
-2.9965860E+00,4.24805E+00
-2.9965746E+00,4.24805E+00
-2.9965632E+00,4.20898E+00
-2.9965518E+00,4.24805E+00
-2.9965404E+00,4.26758E+00
-2.9965290E+00,4.26758E+00
-2.9965176E+00,4.28711E+00
-2.9965062E+00,4.24805E+00
-2.9964948E+00,4.20898E+00
-2.9964834E+00,4.22852E+00
-2.9964720E+00,4.22852E+00
-2.9964606E+00,4.24805E+00
-2.9964492E+00,4.22852E+00
-2.9964378E+00,4.30664E+00
-2.9964264E+00,4.16992E+00
-2.9964150E+00,4.20898E+00
-2.9964036E+00,4.24805E+00
-2.9963922E+00,4.18945E+00
-2.9963808E+00,4.28711E+00
-2.9963694E+00,4.28711E+00
-2.9963580E+00,4.22852E+00
-2.9963466E+00,4.28711E+00
-2.9963352E+00,4.24805E+00
-2.9963238E+00,4.20898E+00
-2.9963124E+00,4.26758E+00
-2.9963010E+00,4.22852E+00
-2.9962896E+00,4.22852E+00
-2.9962782E+00,4.24805E+00
-2.9962668E+00,4.30664E+00
-2.9962554E+00,4.22852E+00
-2.9962440E+00,4.20898E+00
-2.9962326E+00,4.18945E+00
-2.9962212E+00,4.20898E+00
-2.9962098E+00,4.22852E+00
-2.9961984E+00,4.26758E+00
-2.9961870E+00,4.22852E+00
-2.9961756E+00,4.28711E+00
-2.9961642E+00,4.24805E+00
-2.9961528E+00,4.24805E+00
-2.9961414E+00,4.22852E+00
-2.9961300E+00,4.18945E+00
-2.9961186E+00,4.30664E+00
-2.9961072E+00,4.22852E+00
-2.9960958E+00,4.22852E+00
-2.9960844E+00,4.24805E+00
-2.9960730E+00,4.24805E+00
-2.9960616E+00,4.24805E+00
-2.9960502E+00,4.22852E+00
-2.9960388E+00,4.22852E+00
-2.9960274E+00,4.20898E+00
-2.9960160E+00,4.20898E+00
-2.9960046E+00,4.20898E+00
-2.9959932E+00,4.20898E+00
-2.9959818E+00,4.26758E+00
-2.9959704E+00,4.22852E+00
-2.9959590E+00,4.28711E+00
-2.9959476E+00,4.22852E+00
-2.9959362E+00,4.22852E+00
-2.9959248E+00,4.24805E+00
-2.9959134E+00,4.24805E+00
-2.9959020E+00,4.22852E+00
-2.9958906E+00,4.20898E+00
-2.9958792E+00,4.22852E+00
-2.9958678E+00,4.20898E+00
-2.9958564E+00,4.28711E+00
-2.9958450E+00,4.24805E+00
-2.9958336E+00,4.22852E+00
-2.9958222E+00,4.18945E+00
-2.9958108E+00,4.26758E+00
-2.9957994E+00,4.24805E+00
-2.9957880E+00,4.28711E+00
-2.9957766E+00,4.22852E+00
-2.9957652E+00,4.24805E+00
-2.9957538E+00,4.24805E+00
-2.9957424E+00,4.26758E+00
-2.9957310E+00,4.22852E+00
-2.9957196E+00,4.22852E+00
-2.9957082E+00,4.22852E+00
-2.9956968E+00,4.24805E+00
-2.9956854E+00,4.20898E+00
-2.9956740E+00,4.24805E+00
-2.9956626E+00,4.22852E+00
-2.9956512E+00,4.22852E+00
-2.9956398E+00,4.30664E+00
-2.9956284E+00,4.26758E+00
-2.9956170E+00,4.20898E+00
-2.9956056E+00,4.22852E+00
-2.9955942E+00,4.24805E+00
-2.9955828E+00,4.22852E+00
-2.9955714E+00,4.24805E+00
-2.9955600E+00,4.24805E+00
-2.9955486E+00,4.22852E+00
-2.9955372E+00,4.22852E+00
-2.9955258E+00,4.22852E+00
-2.9955144E+00,4.22852E+00
-2.9955030E+00,4.22852E+00
-2.9954916E+00,4.26758E+00
-2.9954802E+00,4.20898E+00
-2.9954688E+00,4.20898E+00
-2.9954574E+00,4.22852E+00
-2.9954460E+00,4.24805E+00
-2.9954346E+00,4.28711E+00
-2.9954232E+00,4.28711E+00
-2.9954118E+00,4.22852E+00
-2.9954004E+00,4.28711E+00
-2.9953890E+00,4.22852E+00
-2.9953776E+00,4.26758E+00
-2.9953662E+00,4.26758E+00
-2.9953548E+00,4.24805E+00
-2.9953434E+00,4.22852E+00
-2.9953320E+00,4.22852E+00
-2.9953206E+00,4.22852E+00
-2.9953092E+00,4.26758E+00
-2.9952978E+00,4.24805E+00
-2.9952864E+00,4.22852E+00
-2.9952750E+00,4.18945E+00
-2.9952636E+00,4.18945E+00
-2.9952522E+00,4.24805E+00
-2.9952408E+00,4.20898E+00
-2.9952294E+00,4.20898E+00
-2.9952180E+00,4.28711E+00
-2.9952066E+00,4.24805E+00
-2.9951952E+00,4.20898E+00
-2.9951838E+00,4.20898E+00
-2.9951724E+00,4.22852E+00
-2.9951610E+00,4.28711E+00
-2.9951496E+00,4.24805E+00
-2.9951382E+00,4.24805E+00
-2.9951268E+00,4.20898E+00
-2.9951154E+00,4.24805E+00
-2.9951040E+00,4.16992E+00
-2.9950926E+00,4.22852E+00
-2.9950812E+00,4.22852E+00
-2.9950698E+00,4.26758E+00
-2.9950584E+00,4.24805E+00
-2.9950470E+00,4.20898E+00
-2.9950356E+00,4.22852E+00
-2.9950242E+00,4.22852E+00
-2.9950128E+00,4.22852E+00
-2.9950014E+00,4.20898E+00
-2.9949900E+00,4.22852E+00
-2.9949786E+00,4.26758E+00
-2.9949672E+00,4.22852E+00
-2.9949558E+00,4.22852E+00
-2.9949444E+00,4.24805E+00
-2.9949330E+00,4.18945E+00
-2.9949216E+00,4.22852E+00
-2.9949102E+00,4.30664E+00
-2.9948988E+00,4.22852E+00
-2.9948874E+00,4.26758E+00
-2.9948760E+00,4.26758E+00
-2.9948646E+00,4.22852E+00
-2.9948532E+00,4.20898E+00
-2.9948418E+00,4.18945E+00
-2.9948304E+00,4.22852E+00
-2.9948190E+00,4.28711E+00
-2.9948076E+00,4.24805E+00
-2.9947962E+00,4.20898E+00
-2.9947848E+00,4.18945E+00
-2.9947734E+00,4.20898E+00
-2.9947620E+00,4.22852E+00
-2.9947506E+00,4.24805E+00
-2.9947392E+00,4.20898E+00
-2.9947278E+00,4.22852E+00
-2.9947164E+00,4.20898E+00
-2.9947050E+00,4.20898E+00
-2.9946936E+00,4.18945E+00
-2.9946822E+00,4.20898E+00
-2.9946708E+00,4.24805E+00
-2.9946594E+00,4.20898E+00
-2.9946480E+00,4.20898E+00
-2.9946366E+00,4.26758E+00
-2.9946252E+00,4.20898E+00
-2.9946138E+00,4.24805E+00
-2.9946024E+00,4.22852E+00
-2.9945910E+00,4.22852E+00
-2.9945796E+00,4.26758E+00
-2.9945682E+00,4.26758E+00
-2.9945568E+00,4.22852E+00
-2.9945454E+00,4.30664E+00
-2.9945340E+00,4.24805E+00
-2.9945226E+00,4.24805E+00
-2.9945112E+00,4.16992E+00
-2.9944998E+00,4.24805E+00
-2.9944884E+00,4.22852E+00
-2.9944770E+00,4.22852E+00
-2.9944656E+00,4.26758E+00
-2.9944542E+00,4.26758E+00
-2.9944428E+00,4.20898E+00
-2.9944314E+00,4.22852E+00
-2.9944200E+00,4.26758E+00
-2.9944086E+00,4.20898E+00
-2.9943972E+00,4.22852E+00
-2.9943858E+00,4.30664E+00
-2.9943744E+00,4.26758E+00
-2.9943630E+00,4.24805E+00
-2.9943516E+00,4.20898E+00
-2.9943402E+00,4.26758E+00
-2.9943288E+00,4.22852E+00
-2.9943174E+00,4.32617E+00
-2.9943060E+00,4.20898E+00
-2.9942946E+00,4.22852E+00
-2.9942832E+00,4.22852E+00
-2.9942718E+00,4.22852E+00
-2.9942604E+00,4.24805E+00
-2.9942490E+00,4.24805E+00
-2.9942376E+00,4.24805E+00
-2.9942262E+00,4.24805E+00
-2.9942148E+00,4.26758E+00
-2.9942034E+00,4.28711E+00
-2.9941920E+00,4.20898E+00
-2.9941806E+00,4.22852E+00
-2.9941692E+00,4.22852E+00
-2.9941578E+00,4.18945E+00
-2.9941464E+00,4.18945E+00
-2.9941350E+00,4.24805E+00
-2.9941236E+00,4.18945E+00
-2.9941122E+00,4.16992E+00
-2.9941008E+00,4.13086E+00
-2.9940894E+00,4.28711E+00
-2.9940780E+00,4.22852E+00
-2.9940666E+00,4.24805E+00
-2.9940552E+00,4.22852E+00
-2.9940438E+00,4.26758E+00
-2.9940324E+00,4.16992E+00
-2.9940210E+00,4.22852E+00
-2.9940096E+00,4.22852E+00
-2.9939982E+00,4.26758E+00
-2.9939868E+00,4.26758E+00
-2.9939754E+00,4.22852E+00
-2.9939640E+00,4.26758E+00
-2.9939526E+00,4.22852E+00
-2.9939412E+00,4.22852E+00
-2.9939298E+00,4.22852E+00
-2.9939184E+00,4.24805E+00
-2.9939070E+00,4.30664E+00
-2.9938956E+00,4.24805E+00
-2.9938842E+00,4.22852E+00
-2.9938728E+00,4.22852E+00
-2.9938614E+00,4.20898E+00
-2.9938500E+00,4.16992E+00
-2.9938386E+00,4.20898E+00
-2.9938272E+00,4.20898E+00
-2.9938158E+00,4.24805E+00
-2.9938044E+00,4.24805E+00
-2.9937930E+00,4.18945E+00
-2.9937816E+00,4.24805E+00
-2.9937702E+00,4.22852E+00
-2.9937588E+00,4.20898E+00
-2.9937474E+00,4.24805E+00
-2.9937360E+00,4.22852E+00
-2.9937246E+00,4.26758E+00
-2.9937132E+00,4.22852E+00
-2.9937018E+00,4.22852E+00
-2.9936904E+00,4.16992E+00
-2.9936790E+00,4.28711E+00
-2.9936676E+00,4.22852E+00
-2.9936562E+00,4.26758E+00
-2.9936448E+00,4.34570E+00
-2.9936334E+00,4.24805E+00
-2.9936220E+00,4.28711E+00
-2.9936106E+00,4.26758E+00
-2.9935992E+00,4.22852E+00
-2.9935878E+00,4.28711E+00
-2.9935764E+00,4.22852E+00
-2.9935650E+00,4.32617E+00
-2.9935536E+00,4.24805E+00
-2.9935422E+00,4.26758E+00
-2.9935308E+00,4.22852E+00
-2.9935194E+00,4.26758E+00
-2.9935080E+00,4.24805E+00
-2.9934966E+00,4.18945E+00
-2.9934852E+00,4.28711E+00
-2.9934738E+00,4.28711E+00
-2.9934624E+00,4.22852E+00
-2.9934510E+00,4.16992E+00
-2.9934396E+00,4.20898E+00
-2.9934282E+00,4.18945E+00
-2.9934168E+00,4.28711E+00
-2.9934054E+00,4.26758E+00
-2.9933940E+00,4.18945E+00
-2.9933826E+00,4.26758E+00
-2.9933712E+00,4.22852E+00
-2.9933598E+00,4.20898E+00
-2.9933484E+00,4.22852E+00
-2.9933370E+00,4.18945E+00
-2.9933256E+00,4.18945E+00
-2.9933142E+00,4.28711E+00
-2.9933028E+00,4.16992E+00
-2.9932914E+00,4.22852E+00
-2.9932800E+00,4.22852E+00
-2.9932686E+00,4.22852E+00
-2.9932572E+00,4.22852E+00
-2.9932458E+00,4.18945E+00
-2.9932344E+00,4.20898E+00
-2.9932230E+00,4.18945E+00
-2.9932116E+00,4.28711E+00
-2.9932002E+00,4.16992E+00
-2.9931888E+00,4.24805E+00
-2.9931774E+00,4.20898E+00
-2.9931660E+00,4.22852E+00
-2.9931546E+00,4.28711E+00
-2.9931432E+00,4.24805E+00
-2.9931318E+00,4.22852E+00
-2.9931204E+00,4.24805E+00
-2.9931090E+00,4.26758E+00
-2.9930976E+00,4.28711E+00
-2.9930862E+00,4.20898E+00
-2.9930748E+00,4.18945E+00
-2.9930634E+00,4.22852E+00
-2.9930520E+00,4.22852E+00
-2.9930406E+00,4.22852E+00
-2.9930292E+00,4.20898E+00
-2.9930178E+00,4.28711E+00
-2.9930064E+00,4.26758E+00
-2.9929950E+00,4.26758E+00
-2.9929836E+00,4.24805E+00
-2.9929722E+00,4.28711E+00
-2.9929608E+00,4.28711E+00
-2.9929494E+00,4.20898E+00
-2.9929380E+00,4.16992E+00
-2.9929266E+00,4.24805E+00
-2.9929152E+00,4.26758E+00
-2.9929038E+00,4.18945E+00
-2.9928924E+00,4.18945E+00
-2.9928810E+00,4.16992E+00
-2.9928696E+00,4.26758E+00
-2.9928582E+00,4.24805E+00
-2.9928468E+00,4.24805E+00
-2.9928354E+00,4.22852E+00
-2.9928240E+00,4.22852E+00
-2.9928126E+00,4.20898E+00
-2.9928012E+00,4.22852E+00
-2.9927898E+00,4.22852E+00
-2.9927784E+00,4.20898E+00
-2.9927670E+00,4.18945E+00
-2.9927556E+00,4.16992E+00
-2.9927442E+00,4.26758E+00
-2.9927328E+00,4.24805E+00
-2.9927214E+00,4.20898E+00
-2.9927100E+00,4.15039E+00
-2.9926986E+00,4.24805E+00
-2.9926872E+00,4.24805E+00
-2.9926758E+00,4.22852E+00
-2.9926644E+00,4.20898E+00
-2.9926530E+00,4.28711E+00
-2.9926416E+00,4.22852E+00
-2.9926302E+00,4.24805E+00
-2.9926188E+00,4.22852E+00
-2.9926074E+00,4.22852E+00
-2.9925960E+00,4.20898E+00
-2.9925846E+00,4.20898E+00
-2.9925732E+00,4.22852E+00
-2.9925618E+00,4.26758E+00
-2.9925504E+00,4.18945E+00
-2.9925390E+00,4.18945E+00
-2.9925276E+00,4.22852E+00
-2.9925162E+00,4.18945E+00
-2.9925048E+00,4.22852E+00
-2.9924934E+00,4.24805E+00
-2.9924820E+00,4.15039E+00
-2.9924706E+00,4.24805E+00
-2.9924592E+00,4.26758E+00
-2.9924478E+00,4.24805E+00
-2.9924364E+00,4.16992E+00
-2.9924250E+00,4.18945E+00
-2.9924136E+00,4.16992E+00
-2.9924022E+00,4.22852E+00
-2.9923908E+00,4.18945E+00
-2.9923794E+00,4.18945E+00
-2.9923680E+00,4.26758E+00
-2.9923566E+00,4.22852E+00
