in s,C3 in V
-3.0000174E+00,1.96289E+00
-3.0000090E+00,2.37305E+00
-3.0000006E+00,2.37305E+00
-2.9999922E+00,2.31445E+00
-2.9999838E+00,2.41211E+00
-2.9999754E+00,2.43164E+00
-2.9999670E+00,2.37305E+00
-2.9999586E+00,2.31445E+00
-2.9999502E+00,2.43164E+00
-2.9999418E+00,2.37305E+00
-2.9999334E+00,2.41211E+00
-2.9999250E+00,2.43164E+00
-2.9999166E+00,2.49023E+00
-2.9999082E+00,2.43164E+00
-2.9998998E+00,2.41211E+00
-2.9998914E+00,2.41211E+00
-2.9998830E+00,2.33398E+00
-2.9998746E+00,2.41211E+00
-2.9998662E+00,2.41211E+00
-2.9998578E+00,2.39258E+00
-2.9998494E+00,2.43164E+00
-2.9998410E+00,2.37305E+00
-2.9998326E+00,2.43164E+00
-2.9998242E+00,2.39258E+00
-2.9998158E+00,2.37305E+00
-2.9998074E+00,2.39258E+00
-2.9997990E+00,2.39258E+00
-2.9997906E+00,2.31445E+00
-2.9997822E+00,2.39258E+00
-2.9997738E+00,2.41211E+00
-2.9997654E+00,2.37305E+00
-2.9997570E+00,2.39258E+00
-2.9997486E+00,2.37305E+00
-2.9997402E+00,2.35352E+00
-2.9997318E+00,2.35352E+00
-2.9997234E+00,2.41211E+00
-2.9997150E+00,2.47070E+00
-2.9997066E+00,2.29492E+00
-2.9996982E+00,2.43164E+00
-2.9996898E+00,2.39258E+00
-2.9996814E+00,2.33398E+00
-2.9996730E+00,2.33398E+00
-2.9996646E+00,2.35352E+00
-2.9996562E+00,2.43164E+00
-2.9996478E+00,2.33398E+00
-2.9996394E+00,2.37305E+00
-2.9996310E+00,2.31445E+00
-2.9996226E+00,2.41211E+00
-2.9996142E+00,2.39258E+00
-2.9996058E+00,2.41211E+00
-2.9995974E+00,2.39258E+00
-2.9995890E+00,2.35352E+00
-2.9995806E+00,2.43164E+00
-2.9995722E+00,2.29492E+00
-2.9995638E+00,2.35352E+00
-2.9995554E+00,2.31445E+00
-2.9995470E+00,2.29492E+00
-2.9995386E+00,2.37305E+00
-2.9995302E+00,2.41211E+00
-2.9995218E+00,2.31445E+00
-2.9995134E+00,2.37305E+00
-2.9995050E+00,2.39258E+00
-2.9994966E+00,2.39258E+00
-2.9994882E+00,2.37305E+00
-2.9994798E+00,2.43164E+00
-2.9994714E+00,2.41211E+00
-2.9994630E+00,2.37305E+00
-2.9994546E+00,2.37305E+00
-2.9994462E+00,2.37305E+00
-2.9994378E+00,2.35352E+00
-2.9994294E+00,2.39258E+00
-2.9994210E+00,2.37305E+00
-2.9994126E+00,2.37305E+00
-2.9994042E+00,2.35352E+00
-2.9993958E+00,2.43164E+00
-2.9993874E+00,2.39258E+00
-2.9993790E+00,2.39258E+00
-2.9993706E+00,2.41211E+00
-2.9993622E+00,2.41211E+00
-2.9993538E+00,2.35352E+00
-2.9993454E+00,2.43164E+00
-2.9993370E+00,2.37305E+00
-2.9993286E+00,2.39258E+00
-2.9993202E+00,2.37305E+00
-2.9993118E+00,2.37305E+00
-2.9993034E+00,2.37305E+00
-2.9992950E+00,2.41211E+00
-2.9992866E+00,2.33398E+00
-2.9992782E+00,2.33398E+00
-2.9992698E+00,2.35352E+00
-2.9992614E+00,2.35352E+00
-2.9992530E+00,2.33398E+00
-2.9992446E+00,2.37305E+00
-2.9992362E+00,2.33398E+00
-2.9992278E+00,2.35352E+00
-2.9992194E+00,2.35352E+00
-2.9992110E+00,2.43164E+00
-2.9992026E+00,2.37305E+00
-2.9991942E+00,2.33398E+00
-2.9991858E+00,2.39258E+00
-2.9991774E+00,2.35352E+00
-2.9991690E+00,2.37305E+00
-2.9991606E+00,2.31445E+00
-2.9991522E+00,2.33398E+00
-2.9991438E+00,2.39258E+00
-2.9991354E+00,2.39258E+00
-2.9991270E+00,2.35352E+00
-2.9991186E+00,2.35352E+00
-2.9991102E+00,2.33398E+00
-2.9991018E+00,2.37305E+00
-2.9990934E+00,2.35352E+00
-2.9990850E+00,2.39258E+00
-2.9990766E+00,2.35352E+00
-2.9990682E+00,2.41211E+00
-2.9990598E+00,2.35352E+00
-2.9990514E+00,2.35352E+00
-2.9990430E+00,2.33398E+00
-2.9990346E+00,2.39258E+00
-2.9990262E+00,2.39258E+00
-2.9990178E+00,2.41211E+00
-2.9990094E+00,2.35352E+00
-2.9990010E+00,2.37305E+00
-2.9989926E+00,2.35352E+00
-2.9989842E+00,2.39258E+00
-2.9989758E+00,2.39258E+00
-2.9989674E+00,2.41211E+00
-2.9989590E+00,2.37305E+00
-2.9989506E+00,2.29492E+00
-2.9989422E+00,2.29492E+00
-2.9989338E+00,2.41211E+00
-2.9989254E+00,2.33398E+00
-2.9989170E+00,2.31445E+00
-2.9989086E+00,2.29492E+00
-2.9989002E+00,2.37305E+00
-2.9988918E+00,2.37305E+00
-2.9988834E+00,2.39258E+00
-2.9988750E+00,2.33398E+00
-2.9988666E+00,2.29492E+00
-2.9988582E+00,2.35352E+00
-2.9988498E+00,2.43164E+00
-2.9988414E+00,2.31445E+00
-2.9988330E+00,2.35352E+00
-2.9988246E+00,2.39258E+00
-2.9988162E+00,2.41211E+00
-2.9988078E+00,2.31445E+00
