in s,C3 in V
-5.9994876E-01,3.62305E+00
-5.9994144E-01,3.60352E+00
-5.9993412E-01,3.58398E+00
-5.9992680E-01,3.58398E+00
-5.9991948E-01,3.64258E+00
-5.9991216E-01,3.66211E+00
-5.9990484E-01,3.64258E+00
-5.9989752E-01,3.54492E+00
-5.9989020E-01,3.64258E+00
-5.9988288E-01,3.64258E+00
-5.9987556E-01,3.64258E+00
-5.9986824E-01,3.52539E+00
-5.9986092E-01,3.64258E+00
-5.9985360E-01,3.64258E+00
-5.9984628E-01,3.62305E+00
-5.9983896E-01,3.62305E+00
-5.9983164E-01,3.56445E+00
-5.9982432E-01,3.62305E+00
-5.9981700E-01,3.54492E+00
-5.9980968E-01,3.64258E+00
-5.9980236E-01,3.64258E+00
-5.9979504E-01,3.62305E+00
-5.9978772E-01,3.52539E+00
-5.9978040E-01,3.62305E+00
-5.9977308E-01,3.62305E+00
-5.9976576E-01,3.58398E+00
-5.9975844E-01,3.58398E+00
-5.9975112E-01,3.56445E+00
-5.9974380E-01,3.56445E+00
-5.9973648E-01,3.52539E+00
-5.9972916E-01,3.60352E+00
-5.9972184E-01,3.64258E+00
-5.9971452E-01,3.64258E+00
-5.9970720E-01,3.62305E+00
-5.9969988E-01,3.58398E+00
-5.9969256E-01,3.62305E+00
-5.9968524E-01,3.58398E+00
-5.9967792E-01,3.62305E+00
-5.9967060E-01,3.58398E+00
-5.9966328E-01,3.60352E+00
-5.9965596E-01,3.58398E+00
-5.9964864E-01,3.58398E+00
-5.9964132E-01,3.58398E+00
-5.9963400E-01,3.64258E+00
-5.9962668E-01,3.64258E+00
-5.9961936E-01,3.60352E+00
-5.9961204E-01,3.58398E+00
-5.9960472E-01,3.56445E+00
-5.9959740E-01,3.58398E+00
-5.9959008E-01,3.52539E+00
-5.9958276E-01,3.56445E+00
-5.9957544E-01,3.62305E+00
-5.9956812E-01,3.56445E+00
-5.9956080E-01,3.54492E+00
-5.9955348E-01,3.58398E+00
-5.9954616E-01,3.64258E+00
-5.9953884E-01,3.58398E+00
-5.9953152E-01,3.52539E+00
-5.9952420E-01,3.54492E+00
-5.9951688E-01,3.54492E+00
-5.9950956E-01,3.60352E+00
-5.9950224E-01,3.54492E+00
-5.9949492E-01,3.60352E+00
-5.9948760E-01,3.60352E+00
-5.9948028E-01,3.60352E+00
-5.9947296E-01,3.56445E+00
-5.9946564E-01,3.64258E+00
-5.9945832E-01,3.54492E+00
-5.9945100E-01,3.58398E+00
-5.9944368E-01,3.56445E+00
-5.9943636E-01,3.56445E+00
-5.9942904E-01,3.62305E+00
-5.9942172E-01,3.58398E+00
-5.9941440E-01,3.58398E+00
-5.9940708E-01,3.54492E+00
-5.9939976E-01,3.58398E+00
-5.9939244E-01,3.50586E+00
-5.9938512E-01,3.50586E+00
-5.9937780E-01,3.58398E+00
-5.9937048E-01,3.58398E+00
-5.9936316E-01,3.58398E+00
-5.9935584E-01,3.58398E+00
-5.9934852E-01,3.54492E+00
-5.9934120E-01,3.62305E+00
-5.9933388E-01,3.58398E+00
-5.9932656E-01,3.54492E+00
-5.9931924E-01,3.58398E+00
-5.9931192E-01,3.54492E+00
-5.9930460E-01,3.62305E+00
-5.9929728E-01,3.64258E+00
-5.9928996E-01,3.56445E+00
-5.9928264E-01,3.58398E+00
-5.9927532E-01,3.58398E+00
-5.9926800E-01,3.56445E+00
-5.9926068E-01,3.56445E+00
-5.9925336E-01,3.58398E+00
-5.9924604E-01,3.58398E+00
-5.9923872E-01,3.54492E+00
-5.9923140E-01,3.52539E+00
-5.9922408E-01,3.56445E+00
-5.9921676E-01,3.52539E+00
-5.9920944E-01,3.60352E+00
-5.9920212E-01,3.60352E+00
-5.9919480E-01,3.50586E+00
-5.9918748E-01,3.58398E+00
-5.9918016E-01,3.54492E+00
-5.9917284E-01,3.54492E+00
-5.9916552E-01,3.58398E+00
-5.9915820E-01,3.52539E+00
-5.9915088E-01,3.56445E+00
-5.9914356E-01,3.52539E+00
-5.9913624E-01,3.56445E+00
-5.9912892E-01,3.56445E+00
-5.9912160E-01,3.50586E+00
-5.9911428E-01,3.54492E+00
-5.9910696E-01,3.52539E+00
-5.9909964E-01,3.58398E+00
-5.9909232E-01,3.56445E+00
-5.9908500E-01,3.54492E+00
-5.9907768E-01,3.52539E+00
-5.9907036E-01,3.58398E+00
-5.9906304E-01,3.54492E+00
-5.9905572E-01,3.58398E+00
-5.9904840E-01,3.58398E+00
-5.9904108E-01,3.54492E+00
-5.9903376E-01,3.56445E+00
-5.9902644E-01,3.54492E+00
-5.9901912E-01,3.52539E+00
-5.9901180E-01,3.58398E+00
-5.9900448E-01,3.56445E+00
-5.9899716E-01,3.54492E+00
-5.9898984E-01,3.48633E+00
-5.9898252E-01,3.56445E+00
