in s,C3 in V
-2.9998494E+00,2.45117E+00
-2.9998122E+00,2.43164E+00
-2.9997750E+00,2.43164E+00
-2.9997378E+00,2.43164E+00
-2.9997006E+00,2.39258E+00
-2.9996634E+00,2.41211E+00
-2.9996262E+00,2.43164E+00
-2.9995890E+00,2.43164E+00
-2.9995518E+00,2.45117E+00
-2.9995146E+00,2.47070E+00
-2.9994774E+00,2.45117E+00
-2.9994402E+00,2.37305E+00
-2.9994030E+00,2.43164E+00
-2.9993658E+00,2.47070E+00
-2.9993286E+00,2.43164E+00
-2.9992914E+00,2.45117E+00
-2.9992542E+00,2.45117E+00
-2.9992170E+00,2.47070E+00
-2.9991798E+00,2.45117E+00
-2.9991426E+00,2.37305E+00
-2.9991054E+00,2.45117E+00
-2.9990682E+00,2.39258E+00
-2.9990310E+00,2.45117E+00
-2.9989938E+00,2.39258E+00
-2.9989566E+00,2.47070E+00
-2.9989194E+00,2.43164E+00
-2.9988822E+00,2.47070E+00
-2.9988450E+00,2.45117E+00
-2.9988078E+00,2.43164E+00
-2.9987706E+00,2.43164E+00
-2.9987334E+00,2.45117E+00
-2.9986962E+00,2.52930E+00
-2.9986590E+00,2.45117E+00
-2.9986218E+00,2.43164E+00
-2.9985846E+00,2.43164E+00
-2.9985474E+00,2.39258E+00
-2.9985102E+00,2.39258E+00
-2.9984730E+00,2.43164E+00
-2.9984358E+00,2.43164E+00
-2.9983986E+00,2.39258E+00
-2.9983614E+00,2.43164E+00
-2.9983242E+00,2.35352E+00
-2.9982870E+00,2.45117E+00
-2.9982498E+00,2.50977E+00
-2.9982126E+00,2.43164E+00
-2.9981754E+00,2.47070E+00
-2.9981382E+00,2.45117E+00
-2.9981010E+00,2.41211E+00
-2.9980638E+00,2.47070E+00
-2.9980266E+00,2.50977E+00
-2.9979894E+00,2.47070E+00
-2.9979522E+00,2.47070E+00
-2.9979150E+00,2.49023E+00
-2.9978778E+00,2.47070E+00
-2.9978406E+00,2.47070E+00
-2.9978034E+00,2.43164E+00
-2.9977662E+00,2.45117E+00
-2.9977290E+00,2.43164E+00
-2.9976918E+00,2.49023E+00
-2.9976546E+00,2.47070E+00
-2.9976174E+00,2.43164E+00
-2.9975802E+00,2.47070E+00
-2.9975430E+00,2.45117E+00
-2.9975058E+00,2.47070E+00
-2.9974686E+00,2.43164E+00
-2.9974314E+00,2.45117E+00
-2.9973942E+00,2.47070E+00
-2.9973570E+00,2.49023E+00
