in s,C2 in V
-2.999878E+00,2.23633E+00
-2.999842E+00,2.23633E+00
-2.999806E+00,2.27539E+00
-2.999770E+00,2.25586E+00
-2.999734E+00,2.19727E+00
-2.999698E+00,2.21680E+00
-2.999662E+00,2.25586E+00
-2.999626E+00,2.29492E+00
-2.999590E+00,2.25586E+00
-2.999554E+00,2.29492E+00
-2.999518E+00,2.29492E+00
-2.999482E+00,2.31445E+00
-2.999446E+00,2.23633E+00
-2.999410E+00,2.33398E+00
-2.999374E+00,2.33398E+00
-2.999338E+00,2.33398E+00
-2.999302E+00,2.33398E+00
-2.999266E+00,2.33398E+00
-2.999230E+00,2.31445E+00
-2.999194E+00,2.35352E+00
-2.999158E+00,2.37305E+00
-2.999122E+00,2.37305E+00
-2.999086E+00,2.41211E+00
-2.999050E+00,2.41211E+00
-2.999014E+00,2.41211E+00
-2.998978E+00,2.37305E+00
-2.998942E+00,2.41211E+00
-2.998906E+00,2.31445E+00
-2.998870E+00,2.33398E+00
-2.998834E+00,2.41211E+00
-2.998798E+00,2.41211E+00
-2.998762E+00,2.35352E+00
-2.998726E+00,2.33398E+00
-2.998690E+00,2.37305E+00
-2.998654E+00,2.35352E+00
-2.998618E+00,2.39258E+00
-2.998582E+00,2.37305E+00
-2.998546E+00,2.41211E+00
-2.998510E+00,2.29492E+00
-2.998474E+00,2.35352E+00
-2.998438E+00,2.41211E+00
-2.998402E+00,2.33398E+00
-2.998366E+00,2.35352E+00
-2.998330E+00,2.37305E+00
-2.998294E+00,2.41211E+00
-2.998258E+00,2.31445E+00
-2.998222E+00,2.41211E+00
-2.998186E+00,2.39258E+00
-2.998150E+00,2.35352E+00
-2.998114E+00,2.35352E+00
-2.998078E+00,2.37305E+00
-2.998042E+00,2.37305E+00
-2.998006E+00,2.37305E+00
-2.997970E+00,2.41211E+00
-2.997934E+00,2.35352E+00
-2.997898E+00,2.41211E+00
-2.997862E+00,2.39258E+00
-2.997826E+00,2.37305E+00
-2.997790E+00,2.37305E+00
-2.997754E+00,2.33398E+00
-2.997718E+00,2.35352E+00
-2.997682E+00,2.35352E+00
-2.997646E+00,2.41211E+00
-2.997610E+00,2.35352E+00
-2.997574E+00,2.35352E+00
-2.997538E+00,2.39258E+00
-2.997502E+00,2.33398E+00
-2.997466E+00,2.41211E+00
-2.997430E+00,2.39258E+00
-2.997394E+00,2.31445E+00
-2.997358E+00,2.39258E+00
-2.997322E+00,2.31445E+00
-2.997286E+00,2.35352E+00
-2.997250E+00,2.41211E+00
-2.997214E+00,2.35352E+00
-2.997178E+00,2.39258E+00
-2.997142E+00,2.37305E+00
-2.997106E+00,2.37305E+00
-2.997070E+00,2.37305E+00
-2.997034E+00,2.35352E+00
-2.996998E+00,2.35352E+00
-2.996962E+00,2.35352E+00
-2.996926E+00,2.37305E+00
-2.996890E+00,2.29492E+00
-2.996854E+00,2.35352E+00
-2.996818E+00,2.39258E+00
-2.996782E+00,2.37305E+00
-2.996746E+00,2.33398E+00
-2.996710E+00,2.29492E+00
-2.996674E+00,2.41211E+00
-2.996638E+00,2.29492E+00
-2.996602E+00,2.29492E+00
-2.996566E+00,2.31445E+00
-2.996530E+00,2.31445E+00
-2.996494E+00,2.35352E+00
-2.996458E+00,2.37305E+00
-2.996422E+00,2.29492E+00
-2.996386E+00,2.35352E+00
-2.996350E+00,2.41211E+00
-2.996314E+00,2.35352E+00
-2.996278E+00,2.31445E+00
-2.996242E+00,2.37305E+00
-2.996206E+00,2.35352E+00
-2.996170E+00,2.35352E+00
-2.996134E+00,2.29492E+00
-2.996098E+00,2.41211E+00
-2.996062E+00,2.35352E+00
-2.996026E+00,2.35352E+00
-2.995990E+00,2.35352E+00
-2.995954E+00,2.33398E+00
-2.995918E+00,2.35352E+00
-2.995882E+00,2.35352E+00
-2.995846E+00,2.31445E+00
-2.995810E+00,2.41211E+00
-2.995774E+00,2.39258E+00
-2.995738E+00,2.35352E+00
-2.995702E+00,2.35352E+00
-2.995666E+00,2.37305E+00
-2.995630E+00,2.35352E+00
-2.995594E+00,2.35352E+00
-2.995558E+00,2.37305E+00
-2.995522E+00,2.33398E+00
-2.995486E+00,2.33398E+00
