in s,C2 in V
-3.0000174E+00,3.05664E+00
-3.0000072E+00,3.93555E+00
-2.9999970E+00,3.99414E+00
-2.9999868E+00,3.91602E+00
-2.9999766E+00,3.95508E+00
-2.9999664E+00,3.91602E+00
-2.9999562E+00,3.91602E+00
-2.9999460E+00,3.93555E+00
-2.9999358E+00,3.93555E+00
-2.9999256E+00,3.93555E+00
-2.9999154E+00,3.93555E+00
-2.9999052E+00,3.93555E+00
-2.9998950E+00,3.95508E+00
-2.9998848E+00,3.93555E+00
-2.9998746E+00,3.89648E+00
-2.9998644E+00,3.93555E+00
-2.9998542E+00,4.01367E+00
-2.9998440E+00,3.93555E+00
-2.9998338E+00,3.93555E+00
-2.9998236E+00,4.01367E+00
-2.9998134E+00,3.93555E+00
-2.9998032E+00,3.99414E+00
-2.9997930E+00,3.89648E+00
-2.9997828E+00,3.97461E+00
-2.9997726E+00,3.97461E+00
-2.9997624E+00,3.95508E+00
-2.9997522E+00,3.87695E+00
-2.9997420E+00,3.93555E+00
-2.9997318E+00,3.99414E+00
-2.9997216E+00,3.87695E+00
-2.9997114E+00,3.93555E+00
-2.9997012E+00,3.87695E+00
-2.9996910E+00,3.99414E+00
-2.9996808E+00,3.97461E+00
-2.9996706E+00,3.99414E+00
-2.9996604E+00,3.95508E+00
-2.9996502E+00,3.93555E+00
-2.9996400E+00,3.93555E+00
-2.9996298E+00,3.89648E+00
-2.9996196E+00,3.87695E+00
-2.9996094E+00,3.95508E+00
-2.9995992E+00,3.95508E+00
-2.9995890E+00,3.93555E+00
-2.9995788E+00,3.95508E+00
-2.9995686E+00,3.97461E+00
-2.9995584E+00,3.95508E+00
-2.9995482E+00,4.01367E+00
-2.9995380E+00,3.93555E+00
-2.9995278E+00,3.97461E+00
-2.9995176E+00,3.95508E+00
-2.9995074E+00,3.91602E+00
-2.9994972E+00,3.95508E+00
-2.9994870E+00,4.03320E+00
-2.9994768E+00,3.89648E+00
-2.9994666E+00,3.95508E+00
-2.9994564E+00,3.95508E+00
-2.9994462E+00,3.97461E+00
-2.9994360E+00,3.99414E+00
-2.9994258E+00,3.95508E+00
-2.9994156E+00,3.99414E+00
-2.9994054E+00,3.97461E+00
-2.9993952E+00,3.95508E+00
-2.9993850E+00,3.97461E+00
-2.9993748E+00,3.93555E+00
-2.9993646E+00,3.95508E+00
-2.9993544E+00,3.87695E+00
-2.9993442E+00,3.93555E+00
-2.9993340E+00,3.93555E+00
-2.9993238E+00,3.95508E+00
-2.9993136E+00,3.93555E+00
-2.9993034E+00,3.89648E+00
-2.9992932E+00,3.93555E+00
-2.9992830E+00,3.95508E+00
-2.9992728E+00,3.97461E+00
-2.9992626E+00,3.93555E+00
-2.9992524E+00,3.93555E+00
-2.9992422E+00,3.93555E+00
-2.9992320E+00,3.97461E+00
-2.9992218E+00,3.93555E+00
-2.9992116E+00,3.91602E+00
-2.9992014E+00,3.89648E+00
-2.9991912E+00,3.93555E+00
-2.9991810E+00,3.97461E+00
-2.9991708E+00,3.95508E+00
-2.9991606E+00,4.05273E+00
-2.9991504E+00,3.97461E+00
-2.9991402E+00,3.91602E+00
-2.9991300E+00,3.93555E+00
-2.9991198E+00,3.93555E+00
-2.9991096E+00,3.93555E+00
-2.9990994E+00,3.99414E+00
-2.9990892E+00,3.95508E+00
-2.9990790E+00,3.97461E+00
-2.9990688E+00,3.93555E+00
-2.9990586E+00,3.91602E+00
-2.9990484E+00,3.93555E+00
-2.9990382E+00,3.89648E+00
-2.9990280E+00,3.93555E+00
-2.9990178E+00,3.87695E+00
-2.9990076E+00,3.99414E+00
-2.9989974E+00,3.93555E+00
-2.9989872E+00,3.89648E+00
-2.9989770E+00,3.87695E+00
