in s,C2 in V
-2.9998584E+00,2.27539E+00
-2.9998122E+00,2.21680E+00
-2.9997660E+00,2.23633E+00
-2.9997198E+00,2.25586E+00
-2.9996736E+00,2.29492E+00
-2.9996274E+00,2.25586E+00
-2.9995812E+00,2.23633E+00
-2.9995350E+00,2.23633E+00
-2.9994888E+00,2.29492E+00
-2.9994426E+00,2.25586E+00
-2.9993964E+00,2.27539E+00
-2.9993502E+00,2.25586E+00
-2.9993040E+00,2.21680E+00
-2.9992578E+00,2.25586E+00
-2.9992116E+00,2.21680E+00
-2.9991654E+00,2.27539E+00
-2.9991192E+00,2.27539E+00
-2.9990730E+00,2.21680E+00
-2.9990268E+00,2.23633E+00
-2.9989806E+00,2.25586E+00
-2.9989344E+00,2.23633E+00
-2.9988882E+00,2.23633E+00
-2.9988420E+00,2.25586E+00
-2.9987958E+00,2.25586E+00
-2.9987496E+00,2.29492E+00
-2.9987034E+00,2.21680E+00
-2.9986572E+00,2.27539E+00
-2.9986110E+00,2.23633E+00
-2.9985648E+00,2.25586E+00
-2.9985186E+00,2.21680E+00
-2.9984724E+00,2.17773E+00
-2.9984262E+00,2.27539E+00
-2.9983800E+00,2.21680E+00
-2.9983338E+00,2.23633E+00
-2.9982876E+00,2.21680E+00
-2.9982414E+00,2.29492E+00
-2.9981952E+00,2.23633E+00
-2.9981490E+00,2.21680E+00
-2.9981028E+00,2.21680E+00
-2.9980566E+00,2.21680E+00
-2.9980104E+00,2.21680E+00
-2.9979642E+00,2.15820E+00
-2.9979180E+00,2.25586E+00
-2.9978718E+00,2.21680E+00
-2.9978256E+00,2.19727E+00
-2.9977794E+00,2.19727E+00
-2.9977332E+00,2.25586E+00
-2.9976870E+00,2.23633E+00
-2.9976408E+00,2.17773E+00
-2.9975946E+00,2.17773E+00
-2.9975484E+00,2.21680E+00
-2.9975022E+00,2.27539E+00
-2.9974560E+00,2.19727E+00
-2.9974098E+00,2.25586E+00
-2.9973636E+00,2.19727E+00
-2.9973174E+00,2.21680E+00
-2.9972712E+00,2.25586E+00
-2.9972250E+00,2.21680E+00
-2.9971788E+00,2.25586E+00
-2.9971326E+00,2.27539E+00
-2.9970864E+00,2.21680E+00
-2.9970402E+00,2.23633E+00
-2.9969940E+00,2.27539E+00
-2.9969478E+00,2.27539E+00
-2.9969016E+00,2.19727E+00
-2.9968554E+00,2.13867E+00
-2.9968092E+00,2.17773E+00
-2.9967630E+00,2.27539E+00
-2.9967168E+00,2.17773E+00
-2.9966706E+00,2.21680E+00
-2.9966244E+00,2.19727E+00
-2.9965782E+00,2.17773E+00
-2.9965320E+00,2.19727E+00
-2.9964858E+00,2.25586E+00
-2.9964396E+00,2.27539E+00
-2.9963934E+00,2.29492E+00
-2.9963472E+00,2.21680E+00
-2.9963010E+00,2.23633E+00
-2.9962548E+00,2.25586E+00
-2.9962086E+00,2.25586E+00
-2.9961624E+00,2.17773E+00
-2.9961162E+00,2.27539E+00
-2.9960700E+00,2.17773E+00
-2.9960238E+00,2.27539E+00
-2.9959776E+00,2.15820E+00
-2.9959314E+00,2.19727E+00
-2.9958852E+00,2.27539E+00
-2.9958390E+00,2.21680E+00
-2.9957928E+00,2.17773E+00
-2.9957466E+00,2.17773E+00
-2.9957004E+00,2.31445E+00
-2.9956542E+00,2.23633E+00
-2.9956080E+00,2.27539E+00
-2.9955618E+00,2.25586E+00
-2.9955156E+00,2.21680E+00
-2.9954694E+00,2.25586E+00
-2.9954232E+00,2.21680E+00
-2.9953770E+00,2.25586E+00
-2.9953308E+00,2.21680E+00
-2.9952846E+00,2.29492E+00
-2.9952384E+00,2.19727E+00
-2.9951922E+00,2.25586E+00
-2.9951460E+00,2.21680E+00
-2.9950998E+00,2.19727E+00
-2.9950536E+00,2.21680E+00
-2.9950074E+00,2.19727E+00
-2.9949612E+00,2.25586E+00
-2.9949150E+00,2.23633E+00
